ue_id,slice_type,ru_choice,num_rb_alloc,max_rb,power_alloc_w,power_per_rb_w,snr_linear,snr_db,throughput_mbps,r_min_mbps,ru_power_remaining_w,max_power_effective_w,max_snr_db,max_throughput_mbps,success,reason
47,eMBB,5,7,20,7.981049,1.140149857142857,50568.744719154085,47.038821731636716,39.37748692543407,50.0,7.981050149688791,7.981050149688791,42.479502800750794,101.60256161715817,False,insufficient_throughput (39377486.93 < 50000000.00)
29,eMBB,6,7,20,1.995262,0.2850374285714286,2909707.867695009,64.63849388361604,54.11055731795301,50.0,7.981050149688791,7.981050149688791,66.09977541016691,158.09666727049733,True,"(np.float64(54110557.31795301), 0.0002597232822321781, np.float64(284080425.91925335), np.float64(170448255.551552))"
22,eMBB,6,2,20,1.995262,0.997631,20875.21584712718,43.1963097472961,10.331692274354246,50.0,5.985788149688791,5.985788149688791,37.96752385418399,90.81193513004904,False,insufficient_throughput (10331692.27 < 50000000.00)
9,eMBB,6,1,20,1.995262,1.995262,145140.90897357205,51.617898386088996,6.1729576648942395,50.0,5.985788149688791,5.985788149688791,43.378812536337065,103.75341028988466,False,insufficient_throughput (6172957.66 < 50000000.00)
36,eMBB,5,3,20,1.995262,0.6650873333333334,42804.92062599028,46.314936960664724,16.616364552521738,50.0,7.981050149688791,7.981050149688791,44.09645063426966,105.46977597714735,False,insufficient_throughput (16616364.55 < 50000000.00)
45,eMBB,5,7,20,15.962099,2.280299857142857,175376.84846321534,52.43972261502668,43.89866966653397,50.0,15.96209914968879,15.96209914968879,47.88040309925654,114.51995372444544,False,insufficient_throughput (43898669.67 < 50000000.00)
2,eMBB,1,7,20,7.981049,1.140149857142857,26740.37379780551,44.271674738754655,37.061100627187315,50.0,9.97631214968879,9.97631214968879,40.681455703995624,97.30231472045075,False,insufficient_throughput (37061100.63 < 50000000.00)
27,uRLLC,5,10,20,7.981049,0.7981049,21083.320233162634,43.23939005278377,51.709978399883774,5.0,15.96209914968879,15.96209914968879,43.23939036558944,103.41995754789698,True,"(np.float64(51709978.39988378), 4.415175844127424e-05, np.float64(279233883.35937244), np.float64(167540330.01562345))"
42,uRLLC,6,1,20,1.995262,1.995262,53593.679890443214,47.291135779289505,5.655528783831851,5.0,13.96683714968879,13.96683714968879,42.73181720217836,102.20601110884509,True,"(np.float64(5655528.783831852), 0.0003697130840419318, np.float64(30539855.432692), np.float64(18323913.2596152))"
37,eMBB,5,11,20,7.981049,0.7255499090909091,679810.391109381,58.32387798621526,76.7241090424498,50.0,7.98105014968879,7.98105014968879,55.72750550676902,133.2884194461805,True,"(np.float64(76724109.0424498), 0.00018406921040974378, np.float64(402801572.4728615), np.float64(241680943.48371688))"
